priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.9999993619923262,0.077,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,4,0.6848979591836735,0.6325757575757577
3.0,0.9999990327359513,0.22308393177015906,2.0,1.0,0.7920151415834753,3a7d87111941c19b6b7805f9f2ba1d93f343827f,20,0.6848979591836735,0.6325757575757577
3.0,0.9999686006360827,0.073,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,5,0.6848979591836735,0.6325757575757577
3.0,0.9997976096718699,0.049,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,7,0.6848979591836735,0.6325757575757577
3.0,0.9764463613367507,0.016366098794426288,3.0,1.0,1.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,21,0.6848979591836735,0.6325757575757577
2.0,0.9084412179682092,0.131,0.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,3,0.6848979591836735,0.6325757575757577
2.0,0.8510938109490956,0.061,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,6,0.6848979591836735,0.6325757575757577
2.0,0.8143892969801296,0.001,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,13,0.6848979591836735,0.6325757575757577
2.0,0.7383375715178774,0.9159999999999999,0.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,2,0.6848979591836735,0.6325757575757577
2.0,0.6714905697006933,1.3351675140159691,2.0,1.0,0.02631578947368421,3a7d87111941c19b6b7805f9f2ba1d93f343827f,19,0.6848979591836735,0.6325757575757577
2.0,0.6161188926427957,0.006,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,12,0.6848979591836735,0.6325757575757577
2.0,0.6099119016534481,0.037000000000000005,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,9,0.6848979591836735,0.6325757575757577
2.0,0.6088908836476424,0.005108908820294347,3.0,1.0,1.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,23,0.6848979591836735,0.6325757575757577
2.0,0.5993835223564091,1.3790088879527744,2.0,1.0,0.02631578947368421,3a7d87111941c19b6b7805f9f2ba1d93f343827f,16,0.6848979591836735,0.6325757575757577
2.0,0.54500954520359,8.798537223194177,2.0,1.0,0.5554947346067405,3a7d87111941c19b6b7805f9f2ba1d93f343827f,14,0.6848979591836735,0.6325757575757577
2.0,0.5370439160124749,0.021,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,10,0.6848979591836735,0.6325757575757577
2.0,0.45933157971681954,0.013000000000000001,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,11,0.6848979591836735,0.6325757575757577
2.0,0.4029848225072318,1.3603914186134614,2.0,1.0,0.02631578947368421,3a7d87111941c19b6b7805f9f2ba1d93f343827f,17,0.6848979591836735,0.6325757575757577
1.0,0.9999996531317457,0.048,1.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,8,0.6848979591836735,0.6325757575757577
1.0,0.999999591712759,1.043,0.0,0.0,0.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,1,0.6848979591836735,0.6325757575757577
1.0,0.9999789974819197,0.01603832755703514,3.0,1.0,1.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,22,0.6848979591836735,0.6325757575757577
0.0,0.6533969103426132,1.9638415345040334,2.0,1.0,0.02197802197802198,3a7d87111941c19b6b7805f9f2ba1d93f343827f,15,0.6848979591836735,0.6325757575757577
0.0,0.614192218260984,1.3572006396151903,2.0,1.0,0.02631578947368421,3a7d87111941c19b6b7805f9f2ba1d93f343827f,18,0.6848979591836735,0.6325757575757577
0.0,0.4227999920196045,0.0007308209649807297,3.0,1.0,1.0,3a7d87111941c19b6b7805f9f2ba1d93f343827f,24,0.6848979591836735,0.6325757575757577
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
3.0,0.6629812230676848,0.0022825200450453747,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,76,0.7786956208065792,0.47482236638863146
3.0,0.6413429060527228,0.3239863762530646,2.0,1.0,0.6780118147974037,eff0d29723a5e60759d5e0407fce10b162b8cac5,64,0.7786956208065792,0.47482236638863146
3.0,0.6405765088592201,0.055,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,21,0.7786956208065792,0.47482236638863146
3.0,0.6398981493543185,0.007008726539300617,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,74,0.7786956208065792,0.47482236638863146
3.0,0.637496317129608,0.010554377839419916,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,68,0.7786956208065792,0.47482236638863146
3.0,0.5894977089671489,0.081,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,17,0.7786956208065792,0.47482236638863146
3.0,0.5890105213978879,1.187,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,2,0.7786956208065792,0.47482236638863146
3.0,0.5886937944074722,0.17300000000000001,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,12,0.7786956208065792,0.47482236638863146
3.0,0.5526265115965167,0.015,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,27,0.7786956208065792,0.47482236638863146
3.0,0.5430421052441197,5.008216647643027,2.0,1.0,0.27122758341943665,eff0d29723a5e60759d5e0407fce10b162b8cac5,47,0.7786956208065792,0.47482236638863146
3.0,0.5413051467166861,0.4473311907761229,2.0,1.0,0.9390242504906536,eff0d29723a5e60759d5e0407fce10b162b8cac5,63,0.7786956208065792,0.47482236638863146
3.0,0.5275602877172543,2.6019236313996865,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,48,0.7786956208065792,0.47482236638863146
3.0,0.5261569894408114,2.224290281548256,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,52,0.7786956208065792,0.47482236638863146
3.0,0.5117562214380248,0.025,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,23,0.7786956208065792,0.47482236638863146
3.0,0.4490152834799354,0.002,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,33,0.7786956208065792,0.47482236638863146
3.0,0.4449798624782647,1.3397576977400052,2.0,1.0,0.02631578947368421,eff0d29723a5e60759d5e0407fce10b162b8cac5,61,0.7786956208065792,0.47482236638863146
2.0,0.9999999975554539,1.9012621837314825e-05,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,80,0.7786956208065792,0.47482236638863146
2.0,0.9999996417655719,0.001,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,36,0.7786956208065792,0.47482236638863146
2.0,0.9999996197182653,8.319942227192012e-06,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,81,0.7786956208065792,0.47482236638863146
2.0,0.9999921637081617,1.8307420282776496,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,57,0.7786956208065792,0.47482236638863146
2.0,0.9999906628981026,0.32,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,7,0.7786956208065792,0.47482236638863146
2.0,0.9999833082770997,0.008590639781885432,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,72,0.7786956208065792,0.47482236638863146
2.0,0.999962827227773,0.763,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,4,0.7786956208065792,0.47482236638863146
2.0,0.999916778927433,0.009493673696199998,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,69,0.7786956208065792,0.47482236638863146
2.0,0.9998486697744423,1.8793428897589244,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,55,0.7786956208065792,0.47482236638863146
2.0,0.9998374225521999,0.009000000000000001,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,29,0.7786956208065792,0.47482236638863146
2.0,0.997868502273648,0.000311725764219763,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,78,0.7786956208065792,0.47482236638863146
2.0,0.9936108159925954,0.126,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,14,0.7786956208065792,0.47482236638863146
2.0,0.9851662017883986,0.027000000000000003,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,22,0.7786956208065792,0.47482236638863146
2.0,0.9751615684602265,0.004941730937602837,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,75,0.7786956208065792,0.47482236638863146
2.0,0.9509156964393912,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,40,0.7786956208065792,0.47482236638863146
2.0,0.939563609007412,0.069,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,18,0.7786956208065792,0.47482236638863146
2.0,0.9247705214108556,0.057,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,20,0.7786956208065792,0.47482236638863146
2.0,0.9232000504565692,0.009000000000000001,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,30,0.7786956208065792,0.47482236638863146
2.0,0.8662837630284699,0.009000000000000001,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,31,0.7786956208065792,0.47482236638863146
2.0,0.8333651505191888,1.3249356508260492,2.0,1.0,0.02631578947368421,eff0d29723a5e60759d5e0407fce10b162b8cac5,62,0.7786956208065792,0.47482236638863146
2.0,0.8294273443851635,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,39,0.7786956208065792,0.47482236638863146
2.0,0.8207892145866909,0.008287454970904362,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,73,0.7786956208065792,0.47482236638863146
2.0,0.7195974464952518,2.5785166104578496,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,49,0.7786956208065792,0.47482236638863146
2.0,0.7182257503143369,0.556,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,5,0.7786956208065792,0.47482236638863146
2.0,0.6918324588475676,0.159,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,13,0.7786956208065792,0.47482236638863146
2.0,0.622820185011193,1.04,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,3,0.7786956208065792,0.47482236638863146
2.0,0.600075861360351,0.0,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,82,0.7786956208065792,0.47482236638863146
2.0,0.5780159662096006,1.3693979744486846,2.0,1.0,0.02631578947368421,eff0d29723a5e60759d5e0407fce10b162b8cac5,59,0.7786956208065792,0.47482236638863146
2.0,0.5449638224618426,0.016,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,26,0.7786956208065792,0.47482236638863146
2.0,0.5209982084264041,0.012,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,28,0.7786956208065792,0.47482236638863146
2.0,0.4835093799298126,0.0,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,83,0.7786956208065792,0.47482236638863146
2.0,0.40971205842071073,2.4605326360143445,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,50,0.7786956208065792,0.47482236638863146
2.0,0.3717542187240984,1.877563979777564,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,56,0.7786956208065792,0.47482236638863146
1.0,0.9999305802944466,0.002,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,32,0.7786956208065792,0.47482236638863146
1.0,0.9994916458344069,0.016740369352739832,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,67,0.7786956208065792,0.47482236638863146
1.0,0.9974338403395843,0.002,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,34,0.7786956208065792,0.47482236638863146
1.0,0.9972053028654994,0.434,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,6,0.7786956208065792,0.47482236638863146
1.0,0.9956695149646583,0.0002922182304618978,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,79,0.7786956208065792,0.47482236638863146
1.0,0.9714129222412049,0.03613362685412951,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,65,0.7786956208065792,0.47482236638863146
1.0,0.9705484090265464,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,38,0.7786956208065792,0.47482236638863146
1.0,0.9590790575344578,1.9501859337307512,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,54,0.7786956208065792,0.47482236638863146
1.0,0.9547281794793311,0.0011660155439568328,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,77,0.7786956208065792,0.47482236638863146
1.0,0.9445967735653933,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,44,0.7786956208065792,0.47482236638863146
1.0,0.9033441567198366,0.122,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,15,0.7786956208065792,0.47482236638863146
1.0,0.8832605552747812,0.228,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,10,0.7786956208065792,0.47482236638863146
1.0,0.8829990405752848,0.016,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,25,0.7786956208065792,0.47482236638863146
1.0,0.8352266862696317,1.343152229296097,2.0,1.0,0.02631578947368421,eff0d29723a5e60759d5e0407fce10b162b8cac5,60,0.7786956208065792,0.47482236638863146
1.0,0.797181929228559,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,42,0.7786956208065792,0.47482236638863146
1.0,0.7867763834724448,0.001,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,35,0.7786956208065792,0.47482236638863146
1.0,0.7790159819123502,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,41,0.7786956208065792,0.47482236638863146
1.0,0.731714125131725,0.235,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,8,0.7786956208065792,0.47482236638863146
1.0,0.6847843614616403,2.050921583938396,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,53,0.7786956208065792,0.47482236638863146
1.0,0.6827904261719164,5.815749780498643,2.0,1.0,0.7062070644452991,eff0d29723a5e60759d5e0407fce10b162b8cac5,46,0.7786956208065792,0.47482236638863146
1.0,0.6776122062350399,0.1,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,16,0.7786956208065792,0.47482236638863146
1.0,0.6453934368965433,1.3787690941385906,2.0,1.0,0.02631578947368421,eff0d29723a5e60759d5e0407fce10b162b8cac5,58,0.7786956208065792,0.47482236638863146
1.0,0.6296352607913082,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,43,0.7786956208065792,0.47482236638863146
1.0,0.511864428795094,2.2319686734330983,2.0,1.0,0.02197802197802198,eff0d29723a5e60759d5e0407fce10b162b8cac5,51,0.7786956208065792,0.47482236638863146
1.0,0.491116183034053,240.83900000000003,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,1,0.7786956208065792,0.47482236638863146
1.0,0.43476419289607965,9.897,2.0,1.0,0.5,eff0d29723a5e60759d5e0407fce10b162b8cac5,45,0.7786956208065792,0.47482236638863146
0.0,0.9914489950605859,0.008806113941412624,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,71,0.7786956208065792,0.47482236638863146
0.0,0.9798617262576783,0.0,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,37,0.7786956208065792,0.47482236638863146
0.0,0.9748878944689053,0.233,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,9,0.7786956208065792,0.47482236638863146
0.0,0.9012571876827827,0.17600000000000002,0.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,11,0.7786956208065792,0.47482236638863146
0.0,0.8852180483022547,0.065,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,19,0.7786956208065792,0.47482236638863146
0.0,0.8590461211077385,0.024,1.0,0.0,0.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,24,0.7786956208065792,0.47482236638863146
0.0,0.783522782317975,0.01801498459791216,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,66,0.7786956208065792,0.47482236638863146
0.0,0.5754585510457391,0.008894640503421864,3.0,1.0,1.0,eff0d29723a5e60759d5e0407fce10b162b8cac5,70,0.7786956208065792,0.47482236638863146
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
2.0,1.0,0.007016380097301272,3.0,1.0,1.0,169b1bd1749369a29987640894ba5ed01de89691,113,0.7894800030608236,0.4654243376740008
2.0,1.0,0.0,1.0,0.0,0.0,169b1bd1749369a29987640894ba5ed01de89691,62,0.7894800030608236,0.4654243376740008
2.0,0.9999999999999956,0.21899999999999997,0.0,0.0,0.0,169b1bd1749369a29987640894ba5ed01de89691,10,0.7894800030608236,0.4654243376740008
2.0,0.9999999999995133,2.3106327673723026,2.0,1.0,0.02197802197802198,169b1bd1749369a29987640894ba5ed01de89691,72,0.7894800030608236,0.4654243376740008
2.0,0.9999999998549443,2.9685619149273244,2.0,1.0,0.02197802197802198,169b1bd1749369a29987640894ba5ed01de89691,67,0.7894800030608236,0.4654243376740008
2.0,0.9999999992794442,2.0236308960934033,2.0,1.0,0.02197802197802198,169b1bd1749369a29987640894ba5ed01de89691,81,0.7894800030608236,0.4654243376740008
2.0,0.9999999992463477,1.3658635366456129,2.0,1.0,0.02631578947368421,169b1bd1749369a29987640894ba5ed01de89691,87,0.7894800030608236,0.4654243376740008
2.0,0.9999999988674826,0.008349409731953939,3.0,1.0,1.0,169b1bd1749369a29987640894ba5ed01de89691,107,0.7894800030608236,0.4654243376740008
2.0,0.9999999970032325,0.0,1.0,0.0,0.0,169b1bd1749369a29987640894ba5ed01de89691,63,0.7894800030608236,0.4654243376740008
2.0,0.9999999877591376,1.9611929938481405,2.0,1.0,0.0347634060668266,169b1bd1749369a29987640894ba5ed01de89691,85,0.7894800030608236,0.4654243376740008
2.0,0.9999999813298176,2.580552272282448,2.0,1.0,0.8068418025640508,169b1bd1749369a29987640894ba5ed01de89691,69,0.7894800030608236,0.4654243376740008
2.0,0.9999979012065547,2.2392413380968432,2.0,1.0,0.02197802197802198,169b1bd1749369a29987640894ba5ed01de89691,74,0.7894800030608236,0.4654243376740008
2.0,0.9999978793383807,1.3384351447774618,2.0,1.0,0.9902539335789255,169b1bd1749369a29987640894ba5ed01de89691,90,0.7894800030608236,0.4654243376740008
2.0,0.9999977573383068,0.00664435359491081,3.0,1.0,1.0,169b1bd1749369a29987640894ba5ed01de89691,114,0.7894800030608236,0.4654243376740008
2.0,0.9999687068959803,2.5029568722801443,2.0,1.0,0.02197802197802198,169b1bd1749369a29987640894ba5ed01de89691,71,0.7894800030608236,0.4654243376740008
2.0,0.999897720050806,0.00022600862184723745,3.0,1.0,1.0,169b1bd1749369a29987640894ba5ed01de89691,127,0.7894800030608236,0.4654243376740008
