experiment;step;policy;reward_function;sched_time;sched_time_duration;total_build_duration;prioritization_time;detected;missed;tests_ran;tests_not_ran;ttf;ttf_duration;time_reduction;napfd/apfd;cost;rewards;avg_precision;prioritization_order;ddp;nrpa;ntr
1;1;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;2.791;2.791;0.1158132553100586;0;0;15;0;-1;2.7909999999999995;4.440892098500626e-16;1;1;0.0;1;[5, 1, 4, 12, 7, 6, 14, 2, 10, 8, 3, 11, 13, 9, 15];-1;0.728225806451613;1.591147294339171e-16
1;2;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;4.074;4.074;0.08891105651855469;0;0;16;0;-1;4.074;0.0;1;1;0.0;1;[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15];-1;0.7994652406417113;0.0
1;3;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;4.476;4.476;1.1260919570922852;0;0;76;0;-1;4.476;0.0;1;1;0.0;1;[28, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 56, 54, 29, 53, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 80, 1, 15, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 14, 2, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 27];-1;0.8901866966882445;0.0
1;4;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;7.252999999999999;7.252999999999999;1.042468786239624;0;0;76;1;-1;7.253000000000001;-1.7763568394002505e-15;1;1;0.0;1;[81, 82, 83, 84, 85, 1, 2, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 60, 61, 62, 72, 79, 78, 77, 76, 75, 74, 73, 71, 63, 70, 69, 68, 67, 66, 65, 64, 42, 41, 40, 11, 18, 17, 16, 15, 14, 13, 12, 10, 20, 9, 8, 7, 6, 5, 4, 3, 19, 21, 39, 31, 38, 37, 36, 35, 34, 33, 32, 30, 22, 29, 28, 27, 26, 25, 24, 23, 80];-1;0.7992201347040055;-2.4491339299603623e-16
1;5;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;6.926;6.926;1.0442664623260498;0;0;77;0;-1;6.926;0.0;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 44, 53, 52, 51, 50, 49, 48, 47, 46, 64, 65, 66, 67, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 45, 43, 2, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 85];-1;0.7895846089394475;0.0
1;6;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;6.816999999999999;6.816999999999999;1.031080961227417;0;0;76;1;-1;6.817000000000001;-1.7763568394002505e-15;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 44, 53, 52, 51, 50, 49, 48, 47, 46, 64, 65, 66, 67, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 45, 43, 2, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 85];-1;0.786761625471303;-2.6057750321259363e-16
1;7;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;11.41;11.41;0.044577836990356445;0;0;11;0;-1;11.409999999999998;1.7763568394002505e-15;1;1;0.0;1;[86, 1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 44, 53, 52, 51, 50, 49, 48, 47, 46, 64, 65, 66, 67, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 45, 43, 2, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 85];-1;0.7628458498023715;1.5568421028924194e-16
1;8;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;12.766000000000002;12.766000000000002;0.035338401794433594;0;0;9;0;-1;12.766;1.7763568394002505e-15;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6491228070175438;1.3914748859472428e-16
1;9;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;11.923000000000002;11.923000000000002;0.035332441329956055;0;0;9;0;-1;11.923;1.7763568394002505e-15;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.656140350877193;1.4898572837375243e-16
1;10;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;11.28;11.28;0.03528571128845215;0;0;9;0;-1;11.28;0.0;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6736842105263158;0.0
1;11;FRRMAB (C=0.3, D=1, SW=100);Time-ranked Reward;1;12.430000000000001;12.430000000000001;0.03524327278137207;0;0;9;0;-1;12.43;1.7763568394002505e-15;1;1;0.0;1;[1, 55, 63, 62, 61, 60, 59, 58, 57, 56, 54, 65, 53, 52, 51, 50, 49, 48, 47, 46, 64, 66, 2, 77, 85, 84, 83, 82, 81, 80, 79, 78, 76, 67, 75, 74, 73, 72, 71, 70, 69, 68, 45, 44, 43, 12, 20, 19, 18, 17, 16, 15, 14, 13, 11, 42, 10, 9, 8, 7, 6, 5, 4, 3, 21, 22, 23, 24, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 86];-1;0.6491228070175438;1.4290883663718827e-16
