step;env;model;NAPFD/APFD;NRPA;DDP;training_time(seconds);prediction_time(microseconds)
1;bcel;DeepOrder;0.0;0.6263736263736264;-1.0;0;30236
2;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;0;28350
3;bcel;DeepOrder;0.0;0.6263736263736264;-1.0;0;28248
4;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;0;28322
5;bcel;DeepOrder;0.0;0.6593406593406592;-1.0;0;32343
6;bcel;DeepOrder;0.0;0.5931372549019608;-1.0;0;29084
7;bcel;DeepOrder;0.0;0.5625615763546797;-1.0;0;28398
8;bcel;DeepOrder;0.0;0.6263736263736264;-1.0;0;28201
9;bcel;DeepOrder;0.0;0.5661290322580644;-1.0;0;28004
10;bcel;DeepOrder;0.0;0.5548387096774194;-1.0;0;27827
11;bcel;DeepOrder;0.0;0.6153846153846153;-1.0;0;27836
12;bcel;DeepOrder;0.5476190476190476;0.7285714285714285;0.46153846153846156;0;27831
13;bcel;DeepOrder;0.0;0.7032967032967032;-1.0;0;28650
14;bcel;DeepOrder;0.0;0.6285714285714286;-1.0;0;28074
15;bcel;DeepOrder;0.0;0.7428571428571429;-1.0;0;34233
16;bcel;DeepOrder;0.0;0.5803698435277382;-1.0;0;28333
17;bcel;DeepOrder;0.0;0.5566502463054187;-1.0;0;29035
18;bcel;DeepOrder;0.0;0.5388663967611336;-1.0;0;28866
19;bcel;DeepOrder;0.0;0.6071428571428571;-1.0;0;29735
20;bcel;DeepOrder;0.0;0.6071428571428571;-1.0;0;28463
21;bcel;DeepOrder;0.0;0.6;-1.0;0;28262
22;bcel;DeepOrder;0.0;0.6491228070175438;-1.0;0;27839
23;bcel;DeepOrder;0.0;0.5882352941176471;-1.0;0;27760
24;bcel;DeepOrder;0.0;0.5824561403508772;-1.0;0;27738
25;bcel;DeepOrder;0.0;0.5312217194570136;-1.0;0;34078
26;bcel;DeepOrder;0.0;0.6593406593406594;-1.0;0;29926
27;bcel;DeepOrder;0.0;0.5980392156862745;-1.0;0;28421
28;bcel;DeepOrder;0.0;0.6;-1.0;0;27809
29;bcel;DeepOrder;0.0;0.6;-1.0;0;27789
30;bcel;DeepOrder;0.0;0.6071428571428571;-1.0;0;27904
31;bcel;DeepOrder;0.0;0.6;-1.0;0;28962
32;bcel;DeepOrder;0.0;0.5980392156862745;-1.0;0;27985
33;bcel;DeepOrder;0.5625;0.6421568627450981;0.375;0;27923
