Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
13,13,16.186,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,0.5276781639173241,1.0869586,1
15,15,13.652,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.8434449524280243,1.0,0.4450674838625546,0.9295311,2
11,11,5.6229999999999976,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.3473989867786975,1.0,0.18331485949012186,0.41135535,3
2,2,5.5779999999999985,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.3446188063758804,1.0,0.1818478189998044,0.40836757,4
9,9,5.382999999999999,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.33257135796367226,1.0,0.17549064354176172,0.39540946,5
3,3,3.0380000000000003,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.18769306808352895,1.0,0.09904153354632587,0.23811263,6
5,5,2.9610000000000003,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.18293587050537505,1.0,0.09653126426289367,0.23290044,7
1,1,2.737,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.16909675027801804,1.0,0.08922866271109083,0.2177205,8
4,4,0.238,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.014704065241566788,1.0,0.007759014148790507,0.046544172,9
8,8,0.204,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.01260348449277153,1.0,0.006650583556106148,0.044191428,10
14,14,0.039,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.002409489682441616,1.0,0.0012714350916085285,0.032764316,11
12,12,0.023,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.0014209810947732608,1.0,0.0007498206950511834,0.031655382,12
6,6,0.004,2016-03-17,"[0, 0, 0]",0,1,0,0,0,0,0,0.0002471271469170888,1.0,0.00013040359913933623,0.030338384,14
