Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
16,16,672.3839999999999,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,1.0,1.0,1.0,1.0741954,1
7,7,512.757,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.7626287131337877,1.0,0.7625954811536265,0.8469337,2
12,12,30.233,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.045097576021443424,1.0,0.044963889682086436,0.14066817,3
6,6,7.148,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.010769322296782126,1.0,0.010630830001903676,0.106517784,4
10,10,1.797,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0028121862482370693,1.0,0.0026725799543118227,0.09860047,5
14,14,1.296,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0020671806118474087,1.0,0.0019274700171330672,0.097859174,6
18,18,0.8290000000000001,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0013727342402027544,1.0,0.0012329264229963832,0.09716818,7
2,2,0.743,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.001244849041141855,1.0,0.0011050233200076151,0.097040914,8
8,8,0.314,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0006069100830357387,1.0,0.00046699505044736346,0.096406154,9
5,5,0.313,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0006054230458373559,1.0,0.0004655078050637731,0.09640468,10
13,13,0.215,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.00045969340039586534,1.0,0.00031975775747192085,0.09625967,11
15,15,0.157,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0003734452428896772,1.0,0.00023349752522368173,0.096173845,12
4,4,0.09300000000000001,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0002782748621931936,1.0,0.00013831382067390062,0.096079156,13
17,17,0.073,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0002485341182255425,1.0,0.00010856891300209405,0.09604956,14
3,3,0.062,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.00023217670904333442,1.0,9.220921378260044e-05,0.096033275,15
11,11,0.043,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.00020392300227406584,1.0,6.395155149438416e-05,0.096005164,16
1,1,0.006,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.00014890262593391122,1.0,8.923472301541976e-06,0.09595042,17
9,9,0.003,2018-08-29,"[0, 0, 0]",0,1,0,0,0,0,0,0.0001444415143387636,1.0,4.461736150770988e-06,0.09594598,18
Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature,CalcPrio,ranking
29,7,77.268,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,1.0,0.001430615164520744,0.11491647629925758,1.0741954,1
26,19,50.665,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.6557530141669796,0.001430615164520744,0.07535128735960404,0.74323446,2
20,12,38.508,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.4984395304707039,0.001430615164520744,0.05727084523129641,0.5893675,3
35,6,6.398,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.08293110228221824,0.001430615164520744,0.009515395964210928,0.17829585,4
23,16,5.447,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.07062501336265271,0.001430615164520744,0.008101025604416525,0.16605991,5
28,10,1.409,2018-08-30,"[0, 0, 0]",0,2,0,0,0,0,0,0.018372661041721385,0.001430615164520744,0.0020955287454787748,0.11408697,6
