test_id,test_suite,avg_exec_time,verdict,last_exec_time,cycle_id,failure_history,age,complexity_metrics,other_metrics,failure_metric
org/apache/commons/text/StringSubstitutorTest.java,org/apache/commons/text/StringSubstitutorTest.java,0.040999999999999995,0,0.032,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 10, 0, 7, 2, 2, 0, 0, 46, 46, 45, 1, 45, 0, 3, 1, 41, 608, 72, 409, 151, 247, 131, 238, 293, 107, 186, 9, 9, 9, 1, 1, 0.32, 55, 55, 55, 46]","[0.0, 0.21236213, 39]",0.6666666666666666
org/apache/commons/text/StrLookupTest.java,org/apache/commons/text/StrLookupTest.java,0.004,0,0.001,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 10, 0, 8, 1, 1, 0, 0, 8, 8, 8, 0, 8, 0, 0, 0, 8, 139, 16, 91, 40, 52, 32, 55, 67, 31, 36, 2, 2, 2, 1, 1, 0.35, 9, 9, 9, 8]","[0.0, 0.21181374, 8]",0.6666666666666666
org/apache/commons/text/lookup/InterpolatorStringLookupTest.java,org/apache/commons/text/lookup/InterpolatorStringLookupTest.java,0.038,1,0.004,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 9, 0, 9, 0, 1, 2, 3, 5, 5, 3, 0, 5, 0, 1, 0, 4, 95, 11, 68, 33, 40, 16, 52, 58, 29, 29, 1, 1, 1, 1, 0, 0.24, 5, 5, 5, 5]","[0.5, 0.729013185, 2]",0.6666666666666666
org/apache/commons/text/StrSubstitutorTest.java,org/apache/commons/text/StrSubstitutorTest.java,0.25,0,0.193,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 12, 0, 9, 2, 2, 0, 0, 56, 56, 55, 1, 55, 0, 3, 1, 51, 829, 96, 574, 188, 376, 163, 339, 410, 133, 277, 9, 9, 9, 1, 1, 0.28, 71, 71, 71, 56]","[0.0, 0.21085458199999998, 49]",0.6666666666666666
org/apache/commons/text/StringSubstitutorWithInterpolatorStringLookupTest.java,org/apache/commons/text/StringSubstitutorWithInterpolatorStringLookupTest.java,0.013999999999999999,6,0.038,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 6, 0, 6, 0, 1, 0, 0, 8, 8, 8, 0, 8, 0, 1, 0, 7, 101, 12, 73, 48, 38, 16, 39, 49, 35, 14, 2, 2, 2, 1, 1, 0.22, 9, 9, 9, 8]","[0.857142857, 0.210978997, 7]",0.6666666666666666
org/apache/commons/text/lookup/PropertiesStringLookupTest.java,org/apache/commons/text/lookup/PropertiesStringLookupTest.java,0.011000000000000001,4,0.011000000000000001,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 7, 0, 7, 0, 1, 0, 3, 5, 5, 5, 0, 5, 0, 0, 0, 5, 81, 11, 53, 34, 30, 17, 28, 34, 24, 10, 1, 1, 1, 1, 0, 0.32, 5, 5, 5, 5]","[0.8, 0.21216316600000001, 5]",0.6666666666666666
org/apache/commons/text/matcher/StringSubstitutorGetSetTest.java,org/apache/commons/text/matcher/StringSubstitutorGetSetTest.java,0.001,0,0.0,14d5af2570cd9a30b59adccebf17d74a97ea05ca,"[0, 0, 0, 0]",0,"[2, 2, 2, 1, 26, 2, 20, 4, 1, 0, 0, 3, 3, 3, 0, 3, 0, 0, 0, 3, 119, 14, 73, 20, 51, 32, 50, 58, 17, 41, 3, 3, 3, 1, 1, 0.44, 7, 7, 7, 3]","[0.0, 0.212679609, 3]",0.6666666666666666
test_id,test_suite,avg_exec_time,verdict,last_exec_time,cycle_id,failure_history,age,complexity_metrics,other_metrics,failure_metric
org/apache/commons/text/lookup/StringLookupFactoryTest.java,org/apache/commons/text/lookup/StringLookupFactoryTest.java,0.001,1,0.011000000000000001,d9cda575a21d2258a6750936d82d19ca3e12f4eb,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 23, 0, 20, 3, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 51, 3, 26, 7, 18, 22, 20, 22, 6, 16, 1, 1, 1, 1, 0, 0.85, 1, 1, 1, 1]","[1.0, 0.337666631, 1]",0.125
org/apache/commons/text/StrSubstitutorTest.java,org/apache/commons/text/StrSubstitutorTest.java,0.163,0,0.187,d9cda575a21d2258a6750936d82d19ca3e12f4eb,"[0, 0, 0, 0]",0,"[1, 1, 1, 1, 12, 0, 9, 2, 2, 0, 0, 56, 56, 55, 1, 55, 0, 3, 1, 51, 829, 96, 574, 188, 376, 163, 339, 410, 133, 277, 9, 9, 9, 1, 1, 0.28, 71, 71, 71, 56]","[0.0, 0.337883437, 49]",0.125
