rank_index,time,class,failures,ranking,nfpa,failure_metric,DDP
3.5507972240448,0.0,1,0,11,0.9242979242979243,0.7692307692307693,0.6923076923076923
3.407804250717163,0.001,1,0,9,0.9242979242979243,0.7692307692307693,0.6923076923076923
3.0818521976470947,0.0,1,0,12,0.9242979242979243,0.7692307692307693,0.6923076923076923
2.8417718410491943,0.001,1,0,8,0.9242979242979243,0.7692307692307693,0.6923076923076923
2.277735948562622,0.0,1,0,10,0.9242979242979243,0.7692307692307693,0.6923076923076923
2.18695068359375,0.002,1,0,7,0.9242979242979243,0.7692307692307693,0.6923076923076923
2.1071324348449707,0.002,1,0,6,0.9242979242979243,0.7692307692307693,0.6923076923076923
2.1071324348449707,0.012,0,0,5,0.9242979242979243,0.7692307692307693,0.6923076923076923
1.9509190320968628,56.356,0,0,1,0.9242979242979243,0.7692307692307693,0.6923076923076923
1.7689337730407717,0.017,2,2,13,0.9242979242979243,0.7692307692307693,0.6923076923076923
0.5974039435386658,0.133,0,0,4,0.9242979242979243,0.7692307692307693,0.6923076923076923
-0.182740330696106,5.391,0,0,2,0.9242979242979243,0.7692307692307693,0.6923076923076923
-3.1245238780975337,0.34600000000000003,0,0,3,0.9242979242979243,0.7692307692307693,0.6923076923076923
rank_index,time,class,failures,ranking,nfpa,failure_metric,DDP
3.5507972240448,0.0,1,0,11,0.9365079365079366,0.6923076923076923,0.6153846153846154
3.3345654010772705,0.0,1,0,9,0.9365079365079366,0.6923076923076923,0.6153846153846154
3.0818521976470947,0.0,1,0,12,0.9365079365079366,0.6923076923076923,0.6153846153846154
2.8417718410491943,0.001,1,0,7,0.9365079365079366,0.6923076923076923,0.6153846153846154
2.277735948562622,0.0,1,0,10,0.9365079365079366,0.6923076923076923,0.6153846153846154
2.18695068359375,0.001,1,0,8,0.9365079365079366,0.6923076923076923,0.6153846153846154
2.1071324348449707,0.012,0,0,6,0.9365079365079366,0.6923076923076923,0.6153846153846154
2.1071324348449707,0.019,0,0,5,0.9365079365079366,0.6923076923076923,0.6153846153846154
1.7689337730407717,0.043,2,2,13,0.9365079365079366,0.6923076923076923,0.6153846153846154
1.2194377183914185,46.313,0,0,1,0.9365079365079366,0.6923076923076923,0.6153846153846154
0.5974039435386658,0.105,0,0,4,0.9365079365079366,0.6923076923076923,0.6153846153846154
-0.182740330696106,5.487,0,0,2,0.9365079365079366,0.6923076923076923,0.6153846153846154
-3.1245238780975337,0.252,0,0,3,0.9365079365079366,0.6923076923076923,0.6153846153846154
rank_index,time,class,failures,ranking,nfpa,failure_metric,DDP
3.5507972240448,0.001,1,0,7,0.9035409035409036,0.7692307692307693,0.6923076923076923
3.407804250717163,0.0,1,0,11,0.9035409035409036,0.7692307692307693,0.6923076923076923
3.3005621433258057,0.001,1,0,10,0.9035409035409036,0.7692307692307693,0.6923076923076923
2.8417718410491943,0.0,1,0,12,0.9035409035409036,0.7692307692307693,0.6923076923076923
2.277735948562622,0.001,1,0,6,0.9035409035409036,0.7692307692307693,0.6923076923076923
2.1868219375610347,0.001,1,0,8,0.9035409035409036,0.7692307692307693,0.6923076923076923
2.1071324348449707,0.001,1,0,9,0.9035409035409036,0.7692307692307693,0.6923076923076923
2.1071324348449707,0.012,0,0,5,0.9035409035409036,0.7692307692307693,0.6923076923076923
1.9509190320968628,48.376999999999995,0,0,1,0.9035409035409036,0.7692307692307693,0.6923076923076923
1.7689337730407717,0.049,2,2,13,0.9035409035409036,0.7692307692307693,0.6923076923076923
1.6389832496643066,0.361,0,0,3,0.9035409035409036,0.7692307692307693,0.6923076923076923
0.5974039435386658,0.133,0,0,4,0.9035409035409036,0.7692307692307693,0.6923076923076923
-0.182740330696106,5.346,0,0,2,0.9035409035409036,0.7692307692307693,0.6923076923076923
