priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.843060193714781,0.001,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,20,0.8285213325540622,0.2413793103448276
1.0,0.8386759000137993,0.028999999999999998,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,9,0.8285213325540622,0.2413793103448276
1.0,0.6153741559583913,0.0,1.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,27,0.8285213325540622,0.2413793103448276
1.0,0.5974038407110178,0.003,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,14,0.8285213325540622,0.2413793103448276
1.0,0.5854808480876785,0.001,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,21,0.8285213325540622,0.2413793103448276
1.0,0.5298827071334317,0.003,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,15,0.8285213325540622,0.2413793103448276
1.0,0.5297539322503648,0.008,2.0,1,0.071428571,34ee209ed109816c1d583e4d52bfd00cbe00b22d,29,0.8285213325540622,0.2413793103448276
1.0,0.5297508200857365,0.004,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,12,0.8285213325540622,0.2413793103448276
1.0,0.5296512387174508,0.113,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,5,0.8285213325540622,0.2413793103448276
1.0,0.5295618922940595,0.0,1.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,24,0.8285213325540622,0.2413793103448276
1.0,0.5079559152666318,0.002,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,16,0.8285213325540622,0.2413793103448276
0.0,0.9987079724864193,0.045,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,6,0.8285213325540622,0.2413793103448276
0.0,0.99534949818929,0.0,1.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,28,0.8285213325540622,0.2413793103448276
0.0,0.9940933925331454,0.04,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,7,0.8285213325540622,0.2413793103448276
0.0,0.9929535002694078,0.002,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,17,0.8285213325540622,0.2413793103448276
0.0,0.9885862544007066,0.307,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,4,0.8285213325540622,0.2413793103448276
0.0,0.9824559893276424,0.0,1.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,23,0.8285213325540622,0.2413793103448276
0.0,0.9820687547111547,0.001,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,19,0.8285213325540622,0.2413793103448276
0.0,0.9808639744571582,0.0,1.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,26,0.8285213325540622,0.2413793103448276
0.0,0.9803905607578756,0.001,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,18,0.8285213325540622,0.2413793103448276
0.0,0.9566975807601028,0.028999999999999998,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,8,0.8285213325540622,0.2413793103448276
0.0,0.8509325638083807,0.0,1.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,25,0.8285213325540622,0.2413793103448276
0.0,0.7899214172852358,3.165,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,1,0.8285213325540622,0.2413793103448276
0.0,0.6226167571037938,0.778,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,2,0.8285213325540622,0.2413793103448276
0.0,0.5950412559213569,0.003,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,13,0.8285213325540622,0.2413793103448276
0.0,0.5946279463681013,0.011000000000000001,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,11,0.8285213325540622,0.2413793103448276
0.0,0.5892151505921972,0.023,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,10,0.8285213325540622,0.2413793103448276
0.0,0.5747696964432675,0.348,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,3,0.8285213325540622,0.2413793103448276
0.0,0.5146507250342345,0.001,0.0,0,0.0,34ee209ed109816c1d583e4d52bfd00cbe00b22d,22,0.8285213325540622,0.2413793103448276
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.6379183544669536,0.028999999999999998,0.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,6,0.7055335968379446,1.0
1.0,0.6199164448710149,0.044000000000000004,0.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,5,0.7055335968379446,1.0
1.0,0.5726737340172837,0.301,0.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,4,0.7055335968379446,1.0
1.0,0.5366244352743514,0.6970000000000001,0.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,2,0.7055335968379446,1.0
1.0,0.524672814647558,0.0,1.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,8,0.7055335968379446,1.0
1.0,0.5161961486299057,0.0,1.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,7,0.7055335968379446,1.0
0.0,0.9986297114686429,0.0,1.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,9,0.7055335968379446,1.0
0.0,0.9857175607558526,0.35,0.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,3,0.7055335968379446,1.0
0.0,0.968963848072134,2.8989999999999996,0.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,1,0.7055335968379446,1.0
0.0,0.9636966587198053,0.0,1.0,0,0.0,7b115738d83fb8638af6029d5fc9127acb8ea013,10,0.7055335968379446,1.0
0.0,0.8954184962312741,0.013999999999999999,2.0,1,0.071428571,7b115738d83fb8638af6029d5fc9127acb8ea013,11,0.7055335968379446,1.0
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.7559396541998581,0.32299999999999995,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,4,0.8162055335968379,0.6363636363636364
1.0,0.6513424306082138,0.0,1.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,8,0.8162055335968379,0.6363636363636364
1.0,0.4711197825718785,0.336,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,3,0.8162055335968379,0.6363636363636364
0.0,0.999251211858423,0.0,1.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,10,0.8162055335968379,0.6363636363636364
0.0,0.9988989852152571,0.043,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,5,0.8162055335968379,0.6363636363636364
0.0,0.9982475804902996,0.0,1.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,9,0.8162055335968379,0.6363636363636364
0.0,0.9956600932376136,0.011000000000000001,2.0,1,0.071428571,ac203646211fcc354005b30cbce115f5b4586f4b,11,0.8162055335968379,0.6363636363636364
0.0,0.9893800114876042,0.016,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,6,0.8162055335968379,0.6363636363636364
0.0,0.9624641714127551,2.9130000000000003,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,1,0.8162055335968379,0.6363636363636364
0.0,0.7403858549567782,0.9009999999999999,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,2,0.8162055335968379,0.6363636363636364
0.0,0.5091027459934915,0.001,0.0,0,0.0,ac203646211fcc354005b30cbce115f5b4586f4b,7,0.8162055335968379,0.6363636363636364
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.6512618609298805,0.888,0.0,0,0.0,695ffddaa006e56e4af585e1678a646f83c55a21,2,0.7727272727272727,1.0
1.0,0.5818566440039145,0.0,1.0,0,0.0,695ffddaa006e56e4af585e1678a646f83c55a21,7,0.7727272727272727,1.0
0.0,0.999864908836417,0.0,1.0,0,0.0,695ffddaa006e56e4af585e1678a646f83c55a21,10,0.7727272727272727,1.0
0.0,0.9996071205770992,0.0,1.0,0,0.0,695ffddaa006e56e4af585e1678a646f83c55a21,8,0.7727272727272727,1.0
