priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9999935323465361,0.109,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,4,0.8327228327228328,0.8461538461538461
1.0,0.9999860606197151,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,9,0.8327228327228328,0.8461538461538461
1.0,0.9999106113365469,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,11,0.8327228327228328,0.8461538461538461
1.0,0.9698541328841757,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,8,0.8327228327228328,0.8461538461538461
1.0,0.9077099081389901,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,12,0.8327228327228328,0.8461538461538461
1.0,0.9069767313599805,0.001,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,7,0.8327228327228328,0.8461538461538461
1.0,0.8953456964875586,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,10,0.8327228327228328,0.8461538461538461
0.0,0.9999999999984299,0.34,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,3,0.8327228327228328,0.8461538461538461
0.0,0.9999996705841724,48.123000000000005,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,1,0.8327228327228328,0.8461538461538461
0.0,0.9998042770292203,4.748,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,2,0.8327228327228328,0.8461538461538461
0.0,0.9736600009939204,0.018000000000000002,2.0,1,0.017857143,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,13,0.8327228327228328,0.8461538461538461
0.0,0.6759795732366093,0.002,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,6,0.8327228327228328,0.8461538461538461
0.0,0.6518029685503731,0.006999999999999999,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,5,0.8327228327228328,0.8461538461538461
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9841285799683673,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,7,0.6251526251526252,0.9230769230769231
1.0,0.9759716198652382,46.606,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,1,0.6251526251526252,0.9230769230769231
1.0,0.9712863724808487,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,8,0.6251526251526252,0.9230769230769231
1.0,0.9680043923601281,0.327,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,3,0.6251526251526252,0.9230769230769231
1.0,0.9558882454301763,0.171,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,4,0.6251526251526252,0.9230769230769231
1.0,0.8740377673242998,0.002,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,6,0.6251526251526252,0.9230769230769231
1.0,0.8148977337624334,0.003,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,5,0.6251526251526252,0.9230769230769231
1.0,0.6964186545744976,5.095,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,2,0.6251526251526252,0.9230769230769231
0.0,0.9998842078354899,0.0,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,11,0.6251526251526252,0.9230769230769231
