priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9149517005122195,0.249,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,32,0.8072130572130573,0.03636363636363636
1.0,0.9052431148946757,9.463,2.0,1,0.038461537999999997,644fda206de6a0da533118d27b6693d7bce8bf41,55,0.8072130572130573,0.03636363636363636
1.0,0.9051655086424039,0.633,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,13,0.8072130572130573,0.03636363636363636
1.0,0.8979615789200163,0.285,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,28,0.8072130572130573,0.03636363636363636
1.0,0.8968861435768325,0.26899999999999996,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,29,0.8072130572130573,0.03636363636363636
1.0,0.8941744040061053,1.3869999999999998,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,6,0.8072130572130573,0.03636363636363636
1.0,0.8937899969222501,0.607,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,14,0.8072130572130573,0.03636363636363636
1.0,0.8890559990917394,0.29100000000000004,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,27,0.8072130572130573,0.03636363636363636
1.0,0.8850944962528775,0.772,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,10,0.8072130572130573,0.03636363636363636
1.0,0.7606312029663962,0.08,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,50,0.8072130572130573,0.03636363636363636
1.0,0.7498824679294467,0.5920000000000001,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,15,0.8072130572130573,0.03636363636363636
1.0,0.7320993509255775,0.08900000000000001,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,48,0.8072130572130573,0.03636363636363636
1.0,0.71637694521669,2.06,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,4,0.8072130572130573,0.03636363636363636
0.0,1.0,0.076,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,51,0.8072130572130573,0.03636363636363636
0.0,0.999999999999966,0.39899999999999997,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,18,0.8072130572130573,0.03636363636363636
0.0,0.9999999999998601,0.379,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,22,0.8072130572130573,0.03636363636363636
0.0,0.9999999999950409,0.106,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,46,0.8072130572130573,0.03636363636363636
0.0,0.999999999959658,0.39299999999999996,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,19,0.8072130572130573,0.03636363636363636
0.0,0.9999999896531112,0.071,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,52,0.8072130572130573,0.03636363636363636
0.0,0.9999982442705686,0.188,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,38,0.8072130572130573,0.03636363636363636
0.0,0.9999946505178161,0.451,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,17,0.8072130572130573,0.03636363636363636
0.0,0.999938059918845,0.08199999999999999,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,49,0.8072130572130573,0.03636363636363636
0.0,0.9998720645841859,0.135,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,45,0.8072130572130573,0.03636363636363636
0.0,0.9996836474159297,0.05,1.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,54,0.8072130572130573,0.03636363636363636
0.0,0.9996831221015811,0.14,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,44,0.8072130572130573,0.03636363636363636
0.0,0.9995990023979747,0.22899999999999998,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,34,0.8072130572130573,0.03636363636363636
0.0,0.9863140864481825,0.21100000000000002,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,36,0.8072130572130573,0.03636363636363636
0.0,0.9860638999494066,0.267,0.0,0,0.0,644fda206de6a0da533118d27b6693d7bce8bf41,30,0.8072130572130573,0.03636363636363636
