priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9747894129689713,0.114,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,1,0.6419354838709677,0.6666666666666666
1.0,0.9679234496034969,0.073,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,2,0.6419354838709677,0.6666666666666666
1.0,0.5520129012913111,0.004,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,7,0.6419354838709677,0.6666666666666666
1.0,0.4123783538479401,0.017,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,6,0.6419354838709677,0.6666666666666666
0.0,0.9994063557609113,0.0,1.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,13,0.6419354838709677,0.6666666666666666
0.0,0.9921608770401884,0.001,1.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,10,0.6419354838709677,0.6666666666666666
0.0,0.9882417395324905,0.021,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,4,0.6419354838709677,0.6666666666666666
0.0,0.9427396781275906,0.039,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,3,0.6419354838709677,0.6666666666666666
0.0,0.9048784407469622,0.018000000000000002,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,5,0.6419354838709677,0.6666666666666666
0.0,0.8781943781433191,30.331999999999997,2.0,4,0.2222222222222222,77e6a1a900685c173afd5d88c9bc6123b568fc72,15,0.6419354838709677,0.6666666666666666
0.0,0.8202591842944753,0.004,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,8,0.6419354838709677,0.6666666666666666
0.0,0.774073647552959,0.0,1.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,14,0.6419354838709677,0.6666666666666666
0.0,0.6934521813784946,0.0,1.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,11,0.6419354838709677,0.6666666666666666
0.0,0.5927177436896987,0.0,1.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,12,0.6419354838709677,0.6666666666666666
0.0,0.45527069617375326,0.003,0.0,0,0.0,77e6a1a900685c173afd5d88c9bc6123b568fc72,9,0.6419354838709677,0.6666666666666666
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9996011487133066,0.08900000000000001,2.0,1,0.045454545454545456,3982ea1198b8d780b42587e16ace3407bf7621e1,17,0.775609756097561,0.3875
1.0,0.997105779781506,0.0,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,15,0.775609756097561,0.3875
1.0,0.9966561103216425,0.001,1.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,6,0.775609756097561,0.3875
1.0,0.9962169974258719,0.01,2.0,1,0.037037037037037035,3982ea1198b8d780b42587e16ace3407bf7621e1,20,0.775609756097561,0.3875
1.0,0.9828263206090647,0.004,0.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,4,0.775609756097561,0.3875
1.0,0.9669982144138748,0.031,2.0,5,0.05882352941176471,3982ea1198b8d780b42587e16ace3407bf7621e1,18,0.775609756097561,0.3875
1.0,0.9622710714176741,0.009000000000000001,0.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,3,0.775609756097561,0.3875
1.0,0.9300593230261195,0.027999999999999997,0.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,2,0.775609756097561,0.3875
1.0,0.8909000594779041,0.11,0.0,0,0.0,3982ea1198b8d780b42587e16ace3407bf7621e1,1,0.775609756097561,0.3875
