priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9896505206582931,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,11,0.8070818070818071,0.8461538461538461
1.0,0.9883189673157634,0.109,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,4,0.8070818070818071,0.8461538461538461
1.0,0.9858827855252907,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,8,0.8070818070818071,0.8461538461538461
1.0,0.9781451537989351,0.002,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,6,0.8070818070818071,0.8461538461538461
1.0,0.9722988316617694,0.001,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,7,0.8070818070818071,0.8461538461538461
1.0,0.944561236773508,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,12,0.8070818070818071,0.8461538461538461
1.0,0.9230188585259778,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,10,0.8070818070818071,0.8461538461538461
0.0,1.0,0.34,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,3,0.8070818070818071,0.8461538461538461
0.0,0.9999999999903775,48.123000000000005,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,1,0.8070818070818071,0.8461538461538461
0.0,0.9999999774575236,4.748,0.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,2,0.8070818070818071,0.8461538461538461
0.0,0.9036482864615871,0.018000000000000002,2.0,1,0.017857143,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,13,0.8070818070818071,0.8461538461538461
0.0,0.8018570243272248,0.0,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,9,0.8070818070818071,0.8461538461538461
0.0,0.7225158466085642,0.006999999999999999,1.0,0,0.0,60b1c8e5c1b9f3a248d8d13240cf151a13f5953d,5,0.8070818070818071,0.8461538461538461
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9997833314507882,0.025,2.0,1,0.017857143,53ead3ffe88a2af0967fce0d92d0c48284d68807,13,0.7973137973137975,0.07692307692307693
1.0,0.9996352590334261,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,9,0.7973137973137975,0.07692307692307693
1.0,0.9991626344611396,46.606,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,1,0.7973137973137975,0.07692307692307693
1.0,0.9559930723165533,0.002,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,6,0.7973137973137975,0.07692307692307693
1.0,0.9444341138239172,0.003,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,5,0.7973137973137975,0.07692307692307693
1.0,0.916037740598897,0.171,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,4,0.7973137973137975,0.07692307692307693
1.0,0.9021773284626584,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,7,0.7973137973137975,0.07692307692307693
0.0,0.9999998739910759,0.0,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,12,0.7973137973137975,0.07692307692307693
0.0,0.999620942283862,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,8,0.7973137973137975,0.07692307692307693
0.0,0.9980899556268615,0.0,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,11,0.7973137973137975,0.07692307692307693
0.0,0.9943892536521722,0.327,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,3,0.7973137973137975,0.07692307692307693
0.0,0.6687686113256722,5.095,0.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,2,0.7973137973137975,0.07692307692307693
0.0,0.5581786727495764,0.001,1.0,0,0.0,53ead3ffe88a2af0967fce0d92d0c48284d68807,10,0.7973137973137975,0.07692307692307693
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9990682785889858,0.012,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,5,0.7240537240537241,0.6923076923076923
1.0,0.9989453671516954,5.391,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,2,0.7240537240537241,0.6923076923076923
1.0,0.9947329434670522,0.001,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,9,0.7240537240537241,0.6923076923076923
1.0,0.9878349671578294,0.002,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,6,0.7240537240537241,0.6923076923076923
1.0,0.9807401255121765,0.0,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,10,0.7240537240537241,0.6923076923076923
1.0,0.9470975201306003,0.133,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,4,0.7240537240537241,0.6923076923076923
1.0,0.9423977454317258,0.34600000000000003,0.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,3,0.7240537240537241,0.6923076923076923
1.0,0.5788405097079925,0.001,1.0,0,0.0,605bc0154f080e7a98c70256830a7d1d620e1358,8,0.7240537240537241,0.6923076923076923
0.0,0.9999999999999978,0.017,2.0,2,0.034482759,605bc0154f080e7a98c70256830a7d1d620e1358,13,0.7240537240537241,0.6923076923076923
