priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9912647384277326,0.011000000000000001,2.0,4,0.8,14d5af2570cd9a30b59adccebf17d74a97ea05ca,6,0.8571428571428571,0.5238095238095237
1.0,0.9588478924863364,0.032,0.0,0,0.0,14d5af2570cd9a30b59adccebf17d74a97ea05ca,2,0.8571428571428571,0.5238095238095237
1.0,0.5980358787777198,0.001,1.0,0,0.0,14d5af2570cd9a30b59adccebf17d74a97ea05ca,3,0.8571428571428571,0.5238095238095237
0.0,0.9999176326002707,0.004,3.0,1,0.5,14d5af2570cd9a30b59adccebf17d74a97ea05ca,7,0.8571428571428571,0.5238095238095237
0.0,0.9995183332311957,0.0,1.0,0,0.0,14d5af2570cd9a30b59adccebf17d74a97ea05ca,4,0.8571428571428571,0.5238095238095237
0.0,0.8961938581645004,0.038,2.0,6,0.857142857,14d5af2570cd9a30b59adccebf17d74a97ea05ca,5,0.8571428571428571,0.5238095238095237
0.0,0.8492588748638495,0.193,0.0,0,0.0,14d5af2570cd9a30b59adccebf17d74a97ea05ca,1,0.8571428571428571,0.5238095238095237
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9877947558529325,0.03,0.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,3,0.7058823529411764,0.75
1.0,0.9729289757397668,0.006999999999999999,0.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,4,0.7058823529411764,0.75
1.0,0.8992648761792837,0.002,1.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,6,0.7058823529411764,0.75
1.0,0.5024888409926023,0.187,0.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,1,0.7058823529411764,0.75
0.0,0.9999863150489972,0.038,0.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,2,0.7058823529411764,0.75
0.0,0.9882397272724903,0.011000000000000001,2.0,1,1.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,8,0.7058823529411764,0.75
0.0,0.9709538516335914,0.0,1.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,7,0.7058823529411764,0.75
0.0,0.7317850381841056,0.006999999999999999,0.0,0,0.0,d9cda575a21d2258a6750936d82d19ca3e12f4eb,5,0.7058823529411764,0.75
priority,priority_p,time,class,failures,failures_percenteage,cycle_id,ranking,nfpa,failure_metric
1.0,0.9416779459813498,0.06,0.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,3,0.7598039215686274,0.625
1.0,0.786773884087733,3.466,0.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,1,0.7598039215686274,0.625
1.0,0.7170746941370045,0.0,1.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,7,0.7598039215686274,0.625
0.0,1.0,0.001,1.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,6,0.7598039215686274,0.625
0.0,0.999999999999619,0.09,2.0,1,0.019607843,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,8,0.7598039215686274,0.625
0.0,0.9999999999996021,0.287,0.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,2,0.7598039215686274,0.625
0.0,0.9999960616291953,0.001,1.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,5,0.7598039215686274,0.625
0.0,0.9997312415589912,0.035,0.0,0,0.0,a14cca1f7bd51ec11b5ef3dd805a05dfc76de236,4,0.7598039215686274,0.625
